"data";"valor"
"01/01/2010";"0,83"
"01/02/2010";"0,42"
"01/03/2010";"-0,14"
"01/04/2010";"0,14"
"01/05/2010";"0,33"
"01/06/2010";"0,12"
"01/07/2010";"0,32"
"01/08/2010";"-0,01"
"01/09/2010";"0,19"
"01/10/2010";"0,30"
"01/11/2010";"0,33"
"01/12/2010";"0,26"
"01/01/2011";"0,94"
"01/02/2011";"0,47"
"01/03/2011";"1,05"
"01/04/2011";"1,29"
"01/05/2011";"0,55"
"01/06/2011";"-0,12"
"01/07/2011";"0,29"
"01/08/2011";"0,03"
"01/09/2011";"0,62"
"01/10/2011";"0,46"
"01/11/2011";"0,27"
"01/12/2011";"0,19"
"01/01/2012";"0,47"
"01/02/2012";"0,26"
"01/03/2012";"0,18"
"01/04/2012";"0,47"
"01/05/2012";"0,32"
"01/06/2012";"0,15"
"01/07/2012";"0,19"
"01/08/2012";"0,13"
"01/09/2012";"0,30"
"01/10/2012";"0,25"
"01/11/2012";"0,54"
"01/12/2012";"0,33"
"01/01/2013";"-0,22"
"01/02/2013";"-1,11"
"01/03/2013";"0,26"
"01/04/2013";"0,41"
"01/05/2013";"0,31"
"01/06/2013";"0,38"
"01/07/2013";"-0,27"
"01/08/2013";"0,09"
"01/09/2013";"0,16"
"01/10/2013";"0,14"
"01/11/2013";"0,48"
"01/12/2013";"0,91"
"01/01/2014";"0,38"
"01/02/2014";"0,40"
"01/03/2014";"-0,02"
"01/04/2014";"0,77"
"01/05/2014";"0,59"
"01/06/2014";"0,25"
"01/07/2014";"0,39"
"01/08/2014";"0,51"
"01/09/2014";"0,40"
"01/10/2014";"0,38"
"01/11/2014";"0,72"
"01/12/2014";"0,43"
"01/01/2015";"2,50"
"01/02/2015";"2,37"
"01/03/2015";"3,36"
"01/04/2015";"0,78"
"01/05/2015";"1,22"
"01/06/2015";"1,12"
"01/07/2015";"1,17"
"01/08/2015";"0,32"
"01/09/2015";"0,92"
"01/10/2015";"1,39"
"01/11/2015";"1,09"
"01/12/2015";"0,53"
"01/01/2016";"1,75"
"01/02/2016";"0,39"
"01/03/2016";"-0,36"
"01/04/2016";"0,69"
"01/05/2016";"1,40"
"01/06/2016";"0,24"
"01/07/2016";"-0,10"
"01/08/2016";"0,26"
"01/09/2016";"0,37"
"01/10/2016";"0,54"
"01/11/2016";"0,22"
"01/12/2016";"-0,01"
